,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.046862625,0.0
1,80099,-0.1249552021170332,0.0044748285,0.0
2,80100,0.4979932028913158,0.0,0.0072649145
3,80101,1.072193596541135,0.01527086,0.0
4,80102,1.5414381287473036,0.00904501,0.0
5,80103,1.8597929641568645,0.0,0.009477801
6,80104,1.9960946952466119,0.027285464,0.0
7,80105,1.937000894259923,0.04259413,0.0
8,80106,1.688296188905658,0.0,0.0015501744
9,80107,1.2743260114724995,0.010844026,0.0
10,80108,0.7356134509921568,0.0,0.0018209714
11,80109,0.12489249231761931,0.004964643,0.0
12,80110,-0.4980540561713235,0.0,0.032131
13,80111,-1.0722466364673517,0.0,0.094170325
14,80112,-1.5414781632804864,0.0,0.15738389
15,80113,-1.859816074363702,0.0,0.21948668
16,80114,-1.9960986188997132,0.0,0.15787481
17,80115,-1.9369852472754385,0.0,0.0995146
18,80116,-1.688262502950737,0.025322817,0.0
19,80117,-1.274277584017304,0.07554168,0.0
20,80118,-0.7355550225687775,0.073623724,0.0
21,80119,-0.12482978240220076,0.0056845616,0.0
22,80120,0.4981149089738551,0.0,0.0136078885
23,80121,-0.7953673370366583,0.013696221,0.0
24,80122,5.817599904378415,0.1082393,0.0
25,80123,-0.5131524589185845,0.0,0.0024194412
26,80124,1.2831727667025308,0.03923613,0.0
27,80125,2.4640294502442197,0.02581427,0.0
28,80126,1.1108602661721187,0.00049861154,0.0
29,80127,0.5393616871869531,0.011128359,0.0
30,80128,0.7354965934058879,0.008185916,0.0
31,80129,0.12476707237083946,0.007194989,0.0
32,80130,-0.49817576127066376,0.0,0.03065056
33,80131,-1.0723527131325903,0.0,0.091340385
34,80132,-1.541558227777952,0.0,0.22826168
35,80133,-1.8598622892759018,0.0,0.17915098
36,80134,-1.9961064602946739,0.0,0.21252541
37,80135,-1.9369539475675626,0.0,0.11633269
38,80136,-1.6881951260303805,0.0024470186,0.0
39,80137,-1.2741807253507242,0.071980536,0.0
40,80138,-0.7354381635306099,0.029418148,0.0
41,80139,-0.12470436220181197,0.009254375,0.0
42,80140,0.4982366130828295,0.0,0.010328314
43,80141,1.0724057498715078,0.0,0.006201801
44,80142,1.5415982577514267,0.00969228,0.0
45,80143,1.859885393978542,0.011013957,0.0
46,80144,1.9961103780365261,0.005407298,0.0
47,80145,1.9369382948442015,0.0014661523,0.0
48,80146,1.688161435076715,0.01583865,0.0
49,80147,1.2741322941282198,0.0071200756,0.0
50,80148,0.7353797329159366,0.0,0.009160594
51,80149,0.12464165192422733,0.0017404251,0.0
52,80150,-0.49829746440324557,0.0,0.023631807
53,80151,-1.0724587855581238,0.0,0.11092844
54,80152,-1.5416382861941036,0.0,0.1506566
55,80153,-1.8599084968481876,0.0,0.18431161
56,80154,-1.9961142938087109,0.0,0.115347244
57,80155,-1.936922640212746,0.0,0.10365164
58,80156,-1.6881277424490644,0.113310404,0.0
59,80157,-1.274083861648172,0.12990399,0.0
60,80158,-0.7353213015889907,0.059097115,0.0
61,80159,-0.12457894150910022,0.010165681,0.0
62,80160,0.4983583152318519,0.0,0.022902137
63,80161,1.0725118201862442,0.004965297,0.0
64,80162,1.5416783131152145,0.027733322,0.0
65,80163,1.8599315978767899,0.0,0.00077473244
66,80164,1.9961182076107704,0.0,0.008096456
67,80165,1.9369069836677735,0.0143096065,0.0
68,80166,1.6880940481630684,0.0,0.0014932693
69,80167,1.2740354279106287,0.0,0.008564468
70,80168,0.7352628695295309,0.0,0.006590044
71,80169,0.12451623098553982,0.0013568274,0.0
72,80170,-0.49841916557563487,0.0,0.020764638
73,80171,-1.0725648537558168,0.0,0.07448178
74,80172,-1.5417183385239894,0.0,0.18140982
75,80173,-1.8599546970750265,0.0,0.25850457
76,80174,-1.9961221194427006,0.0,0.13393559
77,80175,-1.9368913252111122,0.0027127701,0.0
78,80176,-1.6880603522109576,0.06462354,0.0
79,80177,-1.2739869929156376,0.12875454,0.0
80,80178,-0.7352044367443812,0.05279333,0.0
81,80179,-0.1244535203390844,0.00818748,0.0
82,80180,0.4984800154133952,0.0,0.016001936
83,80181,1.0726178862667888,0.02294921,0.0
84,80182,1.5417583624064837,0.008383835,0.0
85,80183,1.8599777944321751,0.0,0.009295465
86,80184,1.9961260293044978,0.02532293,0.0
87,80185,1.9368756648427774,0.050421495,0.0
88,80186,1.6880266545849605,0.0075385217,0.0
89,80187,1.2739385566688557,0.0034152204,0.0
90,80188,0.7351460032335992,0.01610078,0.0
91,80189,0.1243908095552721,0.008131805,0.0
92,80190,-0.4985408647591657,0.0,0.048662916
93,80191,-1.0726709177191085,0.0,0.06662345
94,80192,-1.5417983847672931,0.0,0.18965787
95,80193,-1.8600008899535627,0.0,1.0
