,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.0020135972
1,80099,-0.1249552021170332,0.0,0.0015561763
2,80100,0.4979932028913158,0.009709951,0.0
3,80101,1.072193596541135,0.02287142,0.0
4,80102,1.5414381287473036,0.024315134,0.0
5,80103,1.8597929641568645,0.0,0.007042004
6,80104,1.9960946952466119,0.011237739,0.0
7,80105,1.937000894259923,0.0,0.025461445
8,80106,1.688296188905658,0.0,0.029834257
9,80107,1.2743260114724995,0.004934952,0.0
10,80108,0.7356134509921568,0.011863894,0.0
11,80109,0.12489249231761931,0.0,0.0026734106
12,80110,-0.4980540561713235,0.01088733,0.0
13,80111,-1.0722466364673517,0.015004274,0.0
14,80112,-1.5414781632804864,0.0010293484,0.0
15,80113,-1.859816074363702,0.0,0.01579207
16,80114,-1.9960986188997132,0.0,0.020709807
17,80115,-1.9369852472754385,0.0,0.050668176
18,80116,-1.688262502950737,0.0,0.023075448
19,80117,-1.274277584017304,0.023242284,0.0
20,80118,-0.7355550225687775,0.014850185,0.0
21,80119,-0.12482978240220076,0.0,0.0004781871
22,80120,0.4981149089738551,0.006055063,0.0
23,80121,-0.7953673370366583,0.016251754,0.0
24,80122,5.817599904378415,0.0,0.1332758
25,80123,-0.5131524589185845,0.0,0.0044099027
26,80124,1.2831727667025308,0.038976714,0.0
27,80125,2.4640294502442197,0.017027423,0.0
28,80126,1.1108602661721187,0.0,0.00075317617
29,80127,0.5393616871869531,0.008558913,0.0
30,80128,0.7354965934058879,0.0,0.00028900974
31,80129,0.12476707237083946,0.0,0.0020435473
32,80130,-0.49817576127066376,0.016453488,0.0
33,80131,-1.0723527131325903,0.0031219015,0.0
34,80132,-1.541558227777952,0.0,0.026019843
35,80133,-1.8598622892759018,0.0,0.032085042
36,80134,-1.9961064602946739,0.0,0.004084931
37,80135,-1.9369539475675626,0.0,0.020313198
38,80136,-1.6881951260303805,0.0,0.02431619
39,80137,-1.2741807253507242,0.0107436115,0.0
40,80138,-0.7354381635306099,0.0005054499,0.0
41,80139,-0.12470436220181197,0.0032517018,0.0
42,80140,0.4982366130828295,0.0,0.012284264
43,80141,1.0724057498715078,0.0,0.024058605
44,80142,1.5415982577514267,0.0,0.012992914
45,80143,1.859885393978542,0.017990181,0.0
46,80144,1.9961103780365261,0.046559315,0.0
47,80145,1.9369382948442015,0.031151228,0.0
48,80146,1.688161435076715,0.0014988531,0.0
49,80147,1.2741322941282198,0.009952374,0.0
50,80148,0.7353797329159366,0.0,0.00065615616
51,80149,0.12464165192422733,0.0014550069,0.0
52,80150,-0.49829746440324557,0.0,0.0012244441
53,80151,-1.0724587855581238,0.002191419,0.0
54,80152,-1.5416382861941036,0.0,0.007536247
55,80153,-1.8599084968481876,0.0,0.016549552
56,80154,-1.9961142938087109,0.0,0.05295562
57,80155,-1.936922640212746,0.0,0.040161114
58,80156,-1.6881277424490644,0.0,0.009694194
59,80157,-1.274083861648172,0.009477543,0.0
60,80158,-0.7353213015889907,0.008038337,0.0
61,80159,-0.12457894150910022,0.002039933,0.0
62,80160,0.4983583152318519,0.0,0.020757925
63,80161,1.0725118201862442,0.0,0.028844245
64,80162,1.5416783131152145,0.027768178,0.0
65,80163,1.8599315978767899,0.0,0.01773216
66,80164,1.9961182076107704,0.0106196925,0.0
67,80165,1.9369069836677735,0.023003291,0.0
68,80166,1.6880940481630684,0.0,0.0048378194
69,80167,1.2740354279106287,0.0,0.008155209
70,80168,0.7352628695295309,0.0,0.023841726
71,80169,0.12451623098553982,0.0,0.003685742
72,80170,-0.49841916557563487,0.018338857,0.0
73,80171,-1.0725648537558168,0.03258158,0.0
74,80172,-1.5417183385239894,0.0,0.0029002395
75,80173,-1.8599546970750265,0.0,0.047086023
76,80174,-1.9961221194427006,0.0,0.08731139
77,80175,-1.9368913252111122,0.0,0.024550404
78,80176,-1.6880603522109576,0.0,0.014382075
79,80177,-1.2739869929156376,0.0,0.0036118638
80,80178,-0.7352044367443812,0.012467993,0.0
81,80179,-0.1244535203390844,0.09176571,0.0
82,80180,0.4984800154133952,0.0,0.018744491
83,80181,1.0726178862667888,0.0,0.030998055
84,80182,1.5417583624064837,0.0011602466,0.0
85,80183,1.8599777944321751,0.008649428,0.0
86,80184,1.9961260293044978,0.052835356,0.0
87,80185,1.9368756648427774,0.100728944,0.0
88,80186,1.6880266545849605,0.032337934,0.0
89,80187,1.2739385566688557,1.0,0.0
90,80188,0.7351460032335992,0.0,0.0068312497
91,80189,0.1243908095552721,0.0,0.003929192
92,80190,-0.4985408647591657,0.011853409,0.0
93,80191,-1.0726709177191085,0.04052566,0.0
94,80192,-1.5417983847672931,0.0,0.016915936
95,80193,-1.8600008899535627,0.0,0.061567277
