,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,0.023380985
1,80099,-0.1249552021170332,0.0,0.0026465128
2,80100,0.4979932028913158,0.008249988,0.0
3,80101,1.072193596541135,0.010108841,0.0
4,80102,1.5414381287473036,0.0,0.010974791
5,80103,1.8597929641568645,0.016540613,0.0
6,80104,1.9960946952466119,0.0,0.020586789
7,80105,1.937000894259923,0.0,0.0039729206
8,80106,1.688296188905658,0.0042150677,0.0
9,80107,1.2743260114724995,0.0,0.04733311
10,80108,0.7356134509921568,0.0,0.019691667
11,80109,0.12489249231761931,0.0,0.0038550168
12,80110,-0.4980540561713235,0.015168189,0.0
13,80111,-1.0722466364673517,0.027567059,0.0
14,80112,-1.5414781632804864,0.08579291,0.0
15,80113,-1.859816074363702,0.029647995,0.0
16,80114,-1.9960986188997132,0.025777947,0.0
17,80115,-1.9369852472754385,0.0,0.04656739
18,80116,-1.688262502950737,0.0,0.066924445
19,80117,-1.274277584017304,0.0,0.030857826
20,80118,-0.7355550225687775,0.0,0.027775377
21,80119,-0.12482978240220076,0.0,0.003515095
22,80120,0.4981149089738551,0.030733714,0.0
23,80121,-0.7953673370366583,0.0,0.009967178
24,80122,5.817599904378415,0.014243527,0.0
25,80123,-0.5131524589185845,0.011674202,0.0
26,80124,1.2831727667025308,0.0,0.010224442
27,80125,2.4640294502442197,0.0,0.04184457
28,80126,1.1108602661721187,0.0,0.041972555
29,80127,0.5393616871869531,0.0,0.013790163
30,80128,0.7354965934058879,0.0,0.0076426216
31,80129,0.12476707237083946,0.0,0.0001910531
32,80130,-0.49817576127066376,0.0,0.0042510163
33,80131,-1.0723527131325903,0.0,0.026268292
34,80132,-1.541558227777952,0.0,0.06889745
35,80133,-1.8598622892759018,0.0,0.0684183
36,80134,-1.9961064602946739,0.0,0.17385897
37,80135,-1.9369539475675626,0.0,0.106769376
38,80136,-1.6881951260303805,0.0,0.16043527
39,80137,-1.2741807253507242,0.0,0.09069255
40,80138,-0.7354381635306099,0.0,0.032908686
41,80139,-0.12470436220181197,0.0,0.01018105
42,80140,0.4982366130828295,0.028296245,0.0
43,80141,1.0724057498715078,0.038607586,0.0
44,80142,1.5415982577514267,0.034960344,0.0
45,80143,1.859885393978542,0.03445416,0.0
46,80144,1.9961103780365261,0.0,0.022687355
47,80145,1.9369382948442015,0.0,0.0038640858
48,80146,1.688161435076715,0.0,0.02601427
49,80147,1.2741322941282198,0.0,0.022060774
50,80148,0.7353797329159366,0.0,0.017323883
51,80149,0.12464165192422733,0.0026871383,0.0
52,80150,-0.49829746440324557,0.0,0.0020973682
53,80151,-1.0724587855581238,0.0,0.006869348
54,80152,-1.5416382861941036,0.017609784,0.0
55,80153,-1.8599084968481876,0.029933957,0.0
56,80154,-1.9961142938087109,0.0,0.042610593
57,80155,-1.936922640212746,0.0,0.069540896
58,80156,-1.6881277424490644,0.0,0.034262646
59,80157,-1.274083861648172,0.008000451,0.0
60,80158,-0.7353213015889907,0.0,0.004163066
61,80159,-0.12457894150910022,0.0003142772,0.0
62,80160,0.4983583152318519,0.0120245265,0.0
63,80161,1.0725118201862442,0.0,0.03944933
64,80162,1.5416783131152145,0.0,0.039649446
65,80163,1.8599315978767899,0.0,0.06666291
66,80164,1.9961182076107704,0.006710515,0.0
67,80165,1.9369069836677735,0.0,0.014361044
68,80166,1.6880940481630684,0.0,0.070186935
69,80167,1.2740354279106287,0.0,0.044060558
70,80168,0.7352628695295309,0.0,0.023886919
71,80169,0.12451623098553982,6.649201e-05,0.0
72,80170,-0.49841916557563487,0.014076811,0.0
73,80171,-1.0725648537558168,0.0,0.018087437
74,80172,-1.5417183385239894,0.0,0.049994733
75,80173,-1.8599546970750265,0.0,0.14190793
76,80174,-1.9961221194427006,0.0,0.24624148
77,80175,-1.9368913252111122,0.0,0.26913375
78,80176,-1.6880603522109576,0.0,0.22290184
79,80177,-1.2739869929156376,0.0,0.16645338
80,80178,-0.7352044367443812,0.0,0.03509782
81,80179,-0.1244535203390844,0.0,0.0067498735
82,80180,0.4984800154133952,0.026551777,0.0
83,80181,1.0726178862667888,0.016406618,0.0
84,80182,1.5417583624064837,0.04375214,0.0
85,80183,1.8599777944321751,0.062214263,0.0
86,80184,1.9961260293044978,0.021654641,0.0
87,80185,1.9368756648427774,0.06633927,0.0
88,80186,1.6880266545849605,0.0,0.091571
89,80187,1.2739385566688557,0.0,0.016024122
90,80188,0.7351460032335992,0.0,0.048614405
91,80189,0.1243908095552721,0.0,0.009186629
92,80190,-0.4985408647591657,0.0,0.00016891639
93,80191,-1.0726709177191085,0.044875585,0.0
94,80192,-1.5417983847672931,0.14048658,0.0
95,80193,-1.8600008899535627,1.0,0.0
