,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.009216602,0.0
1,80099,-0.1249552021170332,0.0015353209,0.0
2,80100,0.4979932028913158,2.3797693e-05,0.0
3,80101,1.072193596541135,0.0,0.002178752
4,80102,1.5414381287473036,0.00023957797,0.0
5,80103,1.8597929641568645,0.0024386756,0.0
6,80104,1.9960946952466119,0.0012276543,0.0
7,80105,1.937000894259923,0.0,0.0028515814
8,80106,1.688296188905658,0.0019726278,0.0
9,80107,1.2743260114724995,0.00019322237,0.0
10,80108,0.7356134509921568,0.0034356636,0.0
11,80109,0.12489249231761931,0.00052300346,0.0
12,80110,-0.4980540561713235,0.0,0.0028081744
13,80111,-1.0722466364673517,0.0,0.0013678453
14,80112,-1.5414781632804864,0.040241893,0.0
15,80113,-1.859816074363702,0.0006912012,0.0
16,80114,-1.9960986188997132,0.00551669,0.0
17,80115,-1.9369852472754385,0.10061764,0.0
18,80116,-1.688262502950737,0.022529304,0.0
19,80117,-1.274277584017304,0.038987614,0.0
20,80118,-0.7355550225687775,0.009491728,0.0
21,80119,-0.12482978240220076,0.0017952581,0.0
22,80120,0.4981149089738551,0.0,0.0013438213
23,80121,-0.7953673370366583,0.0,0.0010090851
24,80122,5.817599904378415,0.0,0.0135836275
25,80123,-0.5131524589185845,0.0005634914,0.0
26,80124,1.2831727667025308,0.0,0.0013283854
27,80125,2.4640294502442197,0.000815599,0.0
28,80126,1.1108602661721187,0.0,0.0039159316
29,80127,0.5393616871869531,0.0,5.601082e-05
30,80128,0.7354965934058879,0.004076994,0.0
31,80129,0.12476707237083946,0.00012767452,0.0
32,80130,-0.49817576127066376,0.0,0.0025509691
33,80131,-1.0723527131325903,0.0,0.004856364
34,80132,-1.541558227777952,0.04366874,0.0
35,80133,-1.8598622892759018,0.00012305885,0.0
36,80134,-1.9961064602946739,0.0068999473,0.0
37,80135,-1.9369539475675626,0.12771882,0.0
38,80136,-1.6881951260303805,0.01695368,0.0
39,80137,-1.2741807253507242,0.049410768,0.0
40,80138,-0.7354381635306099,0.0,0.0019262887
41,80139,-0.12470436220181197,0.004889105,0.0
42,80140,0.4982366130828295,0.0,0.0009098558
43,80141,1.0724057498715078,0.003744372,0.0
44,80142,1.5415982577514267,0.00039866846,0.0
45,80143,1.859885393978542,0.0,0.00011448362
46,80144,1.9961103780365261,0.0017462216,0.0
47,80145,1.9369382948442015,0.0,0.0017204718
48,80146,1.688161435076715,0.0049413163,0.0
49,80147,1.2741322941282198,0.0,0.0012218904
50,80148,0.7353797329159366,0.003382583,0.0
51,80149,0.12464165192422733,0.00029724854,0.0
52,80150,-0.49829746440324557,0.0010625724,0.0
53,80151,-1.0724587855581238,0.0,0.0031682241
54,80152,-1.5416382861941036,0.0386098,0.0
55,80153,-1.8599084968481876,0.0015122426,0.0
56,80154,-1.9961142938087109,0.0,0.00037228686
57,80155,-1.936922640212746,0.11825694,0.0
58,80156,-1.6881277424490644,0.0028612546,0.0
59,80157,-1.274083861648172,0.055922158,0.0
60,80158,-0.7353213015889907,0.0007013358,0.0
61,80159,-0.12457894150910022,0.0040246206,0.0
62,80160,0.4983583152318519,0.0,0.001807176
63,80161,1.0725118201862442,0.0046924325,0.0
64,80162,1.5416783131152145,0.0,0.0012793426
65,80163,1.8599315978767899,0.0,0.004408353
66,80164,1.9961182076107704,0.00027469275,0.0
67,80165,1.9369069836677735,0.0,0.000987116
68,80166,1.6880940481630684,0.002948874,0.0
69,80167,1.2740354279106287,0.0,0.0012124055
70,80168,0.7352628695295309,0.0039228657,0.0
71,80169,0.12451623098553982,0.00014853227,0.0
72,80170,-0.49841916557563487,0.0,0.0035672493
73,80171,-1.0725648537558168,0.0006658168,0.0
74,80172,-1.5417183385239894,0.042637106,0.0
75,80173,-1.8599546970750265,0.00039656556,0.0
76,80174,-1.9961221194427006,0.0,0.00057785114
77,80175,-1.9368913252111122,0.14794596,0.0
78,80176,-1.6880603522109576,0.0,0.0029981881
79,80177,-1.2739869929156376,0.06517396,0.0
80,80178,-0.7352044367443812,0.0004047906,0.0
81,80179,-0.1244535203390844,0.0031533183,0.0
82,80180,0.4984800154133952,0.00045029222,0.0
83,80181,1.0726178862667888,0.00124305,0.0
84,80182,1.5417583624064837,0.0,9.022708e-05
85,80183,1.8599777944321751,0.0014207313,0.0
86,80184,1.9961260293044978,0.0013629007,0.0
87,80185,1.9368756648427774,0.0,0.002523172
88,80186,1.6880266545849605,0.0062744883,0.0
89,80187,1.2739385566688557,0.0,0.0011550743
90,80188,0.7351460032335992,0.0043737236,0.0
91,80189,0.1243908095552721,0.00013026866,0.0
92,80190,-0.4985408647591657,0.0,0.005170019
93,80191,-1.0726709177191085,0.0,0.005664804
94,80192,-1.5417983847672931,0.054217126,0.0
95,80193,-1.8600008899535627,0.0,1.0
