,ds,y,pos_attr,neg_attr
0,80098,-0.7356718786962662,0.0,4.3716558e-13
1,80099,-0.1249552021170332,0.0,4.2623948e-14
2,80100,0.4979932028913158,2.5295421e-14,0.0
3,80101,1.072193596541135,0.0,3.0773948e-13
4,80102,1.5414381287473036,5.4610054e-14,0.0
5,80103,1.8597929641568645,0.0,3.2638668e-13
6,80104,1.9960946952466119,0.0,5.0810376e-13
7,80105,1.937000894259923,3.145405e-14,0.0
8,80106,1.688296188905658,0.0,4.8148454e-13
9,80107,1.2743260114724995,0.0,2.0162688e-14
10,80108,0.7356134509921568,0.0,5.547741e-14
11,80109,0.12489249231761931,0.0,4.517969e-14
12,80110,-0.4980540561713235,2.545831e-13,0.0
13,80111,-1.0722466364673517,7.201055e-14,0.0
14,80112,-1.5414781632804864,0.0,5.7585616e-12
15,80113,-1.859816074363702,0.0,2.484222e-14
16,80114,-1.9960986188997132,0.0,2.6978138e-13
17,80115,-1.9369852472754385,0.0,6.6899945e-12
18,80116,-1.688262502950737,1.6339587e-13,0.0
19,80117,-1.274277584017304,0.0,1.7276241e-12
20,80118,-0.7355550225687775,2.0094875e-13,0.0
21,80119,-0.12482978240220076,0.0,3.0639086e-14
22,80120,0.4981149089738551,0.0,2.5904962e-13
23,80121,-0.7953673370366583,8.993751e-15,0.0
24,80122,5.817599904378415,4.570453e-13,0.0
25,80123,-0.5131524589185845,0.0,1.1486652e-15
26,80124,1.2831727667025308,3.77444e-14,0.0
27,80125,2.4640294502442197,2.5721187e-13,0.0
28,80126,1.1108602661721187,3.9562215e-13,0.0
29,80127,0.5393616871869531,5.240143e-15,0.0
30,80128,0.7354965934058879,3.871543e-13,0.0
31,80129,0.12476707237083946,0.0,4.322928e-15
32,80130,-0.49817576127066376,0.0,7.3754566e-13
33,80131,-1.0723527131325903,8.87691e-13,0.0
34,80132,-1.541558227777952,0.0,4.465152e-12
35,80133,-1.8598622892759018,4.7765026e-15,0.0
36,80134,-1.9961064602946739,7.1416717e-13,0.0
37,80135,-1.9369539475675626,0.0,9.013681e-12
38,80136,-1.6881951260303805,2.296052e-12,0.0
39,80137,-1.2741807253507242,0.0,2.1774416e-12
40,80138,-0.7354381635306099,0.0,2.8880195e-14
41,80139,-0.12470436220181197,0.0,1.1563553e-13
42,80140,0.4982366130828295,0.0,1.5778072e-13
43,80141,1.0724057498715078,0.0,8.0280367e-14
44,80142,1.5415982577514267,0.0,6.5915947e-13
45,80143,1.859885393978542,1.3521055e-13,0.0
46,80144,1.9961103780365261,1.2384478e-14,0.0
47,80145,1.9369382948442015,3.7757595e-13,0.0
48,80146,1.688161435076715,2.277224e-15,0.0
49,80147,1.2741322941282198,1.9002612e-14,0.0
50,80148,0.7353797329159366,0.0,3.1988835e-13
51,80149,0.12464165192422733,0.0,3.867381e-15
52,80150,-0.49829746440324557,0.0,5.4852656e-13
53,80151,-1.0724587855581238,0.0,3.7397708e-13
54,80152,-1.5416382861941036,0.0,4.1556905e-12
55,80153,-1.8599084968481876,0.0,5.5568614e-13
56,80154,-1.9961142938087109,0.0,1.5876166e-13
57,80155,-1.936922640212746,0.0,6.458773e-12
58,80156,-1.6881277424490644,0.0,1.5566202e-13
59,80157,-1.274083861648172,0.0,5.059416e-13
60,80158,-0.7353213015889907,0.0,1.0517616e-13
61,80159,-0.12457894150910022,0.0,1.069324e-13
62,80160,0.4983583152318519,0.0,2.1270935e-13
63,80161,1.0725118201862442,5.0693245e-14,0.0
64,80162,1.5416783131152145,2.0390192e-14,0.0
65,80163,1.8599315978767899,3.244471e-13,0.0
66,80164,1.9961182076107704,2.449684e-13,0.0
67,80165,1.9369069836677735,9.363051e-14,0.0
68,80166,1.6880940481630684,0.0,2.094024e-13
69,80167,1.2740354279106287,0.0,1.7638526e-13
70,80168,0.7352628695295309,0.0,3.4781203e-13
71,80169,0.12451623098553982,0.0,5.2631786e-15
72,80170,-0.49841916557563487,0.0,5.176242e-13
73,80171,-1.0725648537558168,6.299847e-14,0.0
74,80172,-1.5417183385239894,0.0,5.0520096e-12
75,80173,-1.8599546970750265,0.0,1.5500451e-13
76,80174,-1.9961221194427006,0.0,7.677712e-14
77,80175,-1.9368913252111122,0.0,7.6922375e-12
78,80176,-1.6880603522109576,0.0,1.6425653e-13
79,80177,-1.2739869929156376,0.0,2.7566277e-13
80,80178,-0.7352044367443812,0.0,7.405692e-14
81,80179,-0.1244535203390844,0.0,7.3905386e-14
82,80180,0.4984800154133952,1.1159065e-14,0.0
83,80181,1.0726178862667888,1.6871804e-13,0.0
84,80182,1.5417583624064837,2.8386729e-14,0.0
85,80183,1.8599777944321751,0.0,1.7234281e-13
86,80184,1.9961260293044978,2.7077632e-13,0.0
87,80185,1.9368756648427774,0.0,1.5340938e-13
88,80186,1.6880266545849605,0.0,2.0243094e-13
89,80187,1.2739385566688557,0.0,4.9081583e-13
90,80188,0.7351460032335992,0.0,2.2643814e-13
91,80189,0.1243908095552721,0.0,8.6821354e-16
92,80190,-0.4985408647591657,0.0,1.8557832e-13
93,80191,-1.0726709177191085,0.0,7.462377e-14
94,80192,-1.5417983847672931,0.0,6.549682e-12
95,80193,-1.8600008899535627,0.0,3.6473676e-12
